31 63 Move(dir='c', i=3, n=2) Move(dir='r', i=2, n=3) Move(dir='r', i=1, n=3) Move(dir='c', i=0, n=1) Move(dir='r', i=3, n=2) Move(dir='r', i=1, n=2) Move(dir='r', i=3, n=1) Move(dir='c', i=1, n=1) Move(dir='r', i=3, n=1) Move(dir='r', i=1, n=1) Move(dir='r', i=3, n=1) Move(dir='c', i=1, n=3) Move(dir='r', i=0, n=3) Move(dir='r', i=2, n=3) Move(dir='c', i=1, n=3) Move(dir='c', i=3, n=3) Move(dir='r', i=1, n=3) Move(dir='r', i=2, n=2) Move(dir='r', i=1, n=3) Move(dir='c', i=3, n=2) 
32 48 Move(dir='c', i=3, n=3) Move(dir='c', i=2, n=3) Move(dir='r', i=2, n=3) Move(dir='r', i=0, n=3) Move(dir='c', i=1, n=2) Move(dir='r', i=0, n=2) Move(dir='c', i=3, n=2) Move(dir='r', i=0, n=2) Move(dir='r', i=2, n=2) Move(dir='c', i=3, n=1) Move(dir='r', i=2, n=3) Move(dir='r', i=3, n=2) Move(dir='r', i=1, n=3) Move(dir='c', i=2, n=3) Move(dir='r', i=0, n=2) Move(dir='c', i=0, n=2) Move(dir='r', i=1, n=2) Move(dir='r', i=0, n=3) Move(dir='r', i=2, n=2) Move(dir='r', i=3, n=3) 
33 51 Move(dir='c', i=3, n=2) Move(dir='r', i=3, n=1) Move(dir='c', i=3, n=2) Move(dir='c', i=0, n=3) Move(dir='c', i=1, n=3) Move(dir='r', i=2, n=1) Move(dir='c', i=1, n=2) Move(dir='r', i=3, n=2) Move(dir='c', i=3, n=1) Move(dir='c', i=0, n=1) Move(dir='c', i=0, n=1) Move(dir='c', i=1, n=2) Move(dir='r', i=0, n=1) Move(dir='c', i=1, n=3) Move(dir='r', i=2, n=1) Move(dir='r', i=3, n=2) Move(dir='r', i=1, n=1) Move(dir='c', i=2, n=1) Move(dir='r', i=2, n=2) Move(dir='r', i=0, n=2) 
34 51 Move(dir='c', i=2, n=2) Move(dir='r', i=2, n=2) Move(dir='c', i=0, n=1) Move(dir='c', i=1, n=2) Move(dir='c', i=1, n=3) Move(dir='r', i=2, n=3) Move(dir='r', i=2, n=2) Move(dir='r', i=3, n=3) Move(dir='c', i=2, n=2) Move(dir='c', i=0, n=3) Move(dir='c', i=0, n=2) Move(dir='r', i=0, n=3) Move(dir='c', i=3, n=3) Move(dir='r', i=1, n=3) Move(dir='c', i=3, n=2) Move(dir='c', i=2, n=2) Move(dir='r', i=2, n=3) Move(dir='c', i=1, n=3) Move(dir='r', i=3, n=3) Move(dir='r', i=2, n=1) 
35 51 Move(dir='r', i=2, n=3) Move(dir='r', i=0, n=1) Move(dir='r', i=2, n=3) Move(dir='r', i=1, n=3) Move(dir='c', i=3, n=3) Move(dir='c', i=2, n=3) Move(dir='r', i=0, n=3) Move(dir='c', i=0, n=2) Move(dir='r', i=0, n=3) Move(dir='r', i=3, n=1) Move(dir='c', i=0, n=3) Move(dir='r', i=2, n=2) Move(dir='c', i=1, n=1) Move(dir='c', i=3, n=1) Move(dir='r', i=1, n=2) Move(dir='r', i=2, n=1) Move(dir='c', i=1, n=3) Move(dir='r', i=0, n=2) Move(dir='c', i=3, n=3) Move(dir='c', i=0, n=2) 
36 56 Move(dir='r', i=3, n=2) Move(dir='c', i=0, n=1) Move(dir='c', i=3, n=3) Move(dir='c', i=0, n=2) Move(dir='r', i=0, n=2) Move(dir='c', i=0, n=3) Move(dir='r', i=0, n=3) Move(dir='r', i=3, n=3) Move(dir='c', i=2, n=1) Move(dir='c', i=3, n=1) Move(dir='r', i=1, n=1) Move(dir='c', i=2, n=2) Move(dir='r', i=3, n=1) Move(dir='c', i=0, n=3) Move(dir='c', i=2, n=3) Move(dir='c', i=1, n=2) Move(dir='r', i=3, n=1) Move(dir='c', i=0, n=3) Move(dir='r', i=3, n=2) Move(dir='r', i=0, n=1) 
37 57 Move(dir='r', i=0, n=3) Move(dir='r', i=1, n=3) Move(dir='c', i=3, n=2) Move(dir='r', i=3, n=2) Move(dir='c', i=0, n=1) Move(dir='r', i=2, n=2) Move(dir='r', i=0, n=2) Move(dir='r', i=2, n=3) Move(dir='c', i=1, n=3) Move(dir='r', i=2, n=3) Move(dir='c', i=1, n=2) Move(dir='c', i=3, n=3) Move(dir='c', i=2, n=2) Move(dir='c', i=3, n=1) Move(dir='r', i=2, n=1) Move(dir='c', i=3, n=2) Move(dir='c', i=1, n=3) Move(dir='r', i=2, n=3) Move(dir='r', i=3, n=2) Move(dir='r', i=0, n=3) 
38 54 Move(dir='r', i=0, n=1) Move(dir='r', i=2, n=3) Move(dir='c', i=1, n=2) Move(dir='r', i=2, n=3) Move(dir='c', i=1, n=2) Move(dir='r', i=3, n=3) Move(dir='c', i=0, n=1) Move(dir='c', i=1, n=2) Move(dir='c', i=3, n=2) Move(dir='c', i=0, n=2) Move(dir='r', i=1, n=2) Move(dir='c', i=3, n=2) Move(dir='c', i=0, n=3) Move(dir='c', i=3, n=1) Move(dir='r', i=0, n=1) Move(dir='c', i=3, n=2) Move(dir='c', i=0, n=3) Move(dir='c', i=2, n=2) Move(dir='c', i=0, n=2) Move(dir='r', i=3, n=1) 
39 52 Move(dir='c', i=1, n=2) Move(dir='c', i=3, n=2) Move(dir='c', i=2, n=3) Move(dir='c', i=0, n=3) Move(dir='r', i=1, n=3) Move(dir='c', i=0, n=3) Move(dir='r', i=3, n=2) Move(dir='r', i=0, n=1) Move(dir='r', i=3, n=1) Move(dir='c', i=1, n=1) Move(dir='r', i=3, n=1) Move(dir='c', i=1, n=3) Move(dir='r', i=3, n=3) Move(dir='c', i=1, n=2) Move(dir='r', i=0, n=3) Move(dir='c', i=1, n=3) Move(dir='c', i=0, n=1) Move(dir='c', i=1, n=3) Move(dir='r', i=1, n=3) Move(dir='c', i=0, n=2) 
40 61 Move(dir='r', i=0, n=2) Move(dir='r', i=2, n=3) Move(dir='r', i=1, n=2) Move(dir='c', i=0, n=1) Move(dir='r', i=2, n=2) Move(dir='c', i=0, n=2) Move(dir='c', i=3, n=1) Move(dir='c', i=0, n=3) Move(dir='c', i=0, n=2) Move(dir='r', i=1, n=1) Move(dir='c', i=3, n=2) Move(dir='c', i=3, n=3) Move(dir='r', i=0, n=1) Move(dir='r', i=0, n=1) Move(dir='c', i=3, n=2) Move(dir='c', i=0, n=2) Move(dir='r', i=3, n=2) Move(dir='c', i=3, n=1) Move(dir='c', i=1, n=2) Move(dir='r', i=0, n=2) 
